filename,max_confidence,waste_objects_detected
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000024_heading203.87_pitch1.45_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000197_heading24.92_pitch0.48_right90_square_fov90.0_640x640.jpg,0.29824554920196533,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000223_heading16.25_pitch-0.33_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000599_heading124.88_pitch0.94_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000627_heading51.79_pitch0.65_right90_square_fov90.0_640x640.jpg,0.3141792118549347,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000645_heading27.94_pitch-0.37_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000647_heading28.65_pitch-0.14_right90_square_fov90.0_640x640.jpg,0.2960384488105774,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_000669_heading27.07_pitch-1.31_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001088_heading220.91_pitch-0.21_right90_square_fov90.0_640x640.jpg,0.32252994179725647,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001288_heading22.08_pitch-0.15_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001298_heading41.09_pitch0.58_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001342_heading36.54_pitch-2.32_right90_square_fov90.0_640x640.jpg,0.36802899837493896,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001578_heading220.66_pitch-2.34_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001683_heading296.91_pitch0.03_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001775_heading297.31_pitch-0.09_right90_square_fov90.0_640x640.jpg,0.28676682710647583,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001787_heading41.02_pitch0.08_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001841_heading344.68_pitch-0.38_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001851_heading345.87_pitch-0.33_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001879_heading344.67_pitch-0.33_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001905_heading110.05_pitch-0.15_right90_square_fov90.0_640x640.jpg,0.3008921444416046,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_001923_heading164.72_pitch-0.16_right90_square_fov90.0_640x640.jpg,0.27263545989990234,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002135_heading221.48_pitch-0.50_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002264_heading130.02_pitch0.00_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002298_heading220.50_pitch-0.22_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002308_heading224.15_pitch-0.11_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002331_heading213.22_pitch-2.17_right90_square_fov90.0_640x640.jpg,0.4498993754386902,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002345_heading219.28_pitch-0.22_right90_square_fov90.0_640x640.jpg,0.4114823043346405,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002360_heading217.89_pitch1.54_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002370_heading211.84_pitch1.72_right90_square_fov90.0_640x640.jpg,0.2567255198955536,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002382_heading297.99_pitch-0.15_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002384_heading297.48_pitch-0.29_right90_square_fov90.0_640x640.jpg,0.3935975730419159,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002644_heading226.01_pitch0.02_right90_square_fov90.0_640x640.jpg,0.5098997950553894,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002650_heading221.48_pitch3.47_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002770_heading32.83_pitch0.11_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002792_heading43.42_pitch-0.42_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002800_heading42.58_pitch0.00_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002819_heading41.05_pitch-0.13_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002871_heading220.46_pitch0.40_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002885_heading306.51_pitch0.49_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002895_heading309.62_pitch-1.87_right90_square_fov90.0_640x640.jpg,0.2923136055469513,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002937_heading129.59_pitch-0.44_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002939_heading127.05_pitch-0.99_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002955_heading42.61_pitch-0.56_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002967_heading41.67_pitch-0.35_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_002995_heading44.04_pitch0.11_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003109_heading129.96_pitch-0.17_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003153_heading176.96_pitch1.89_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003159_heading114.99_pitch0.25_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003165_heading115.33_pitch2.31_right90_square_fov90.0_640x640.jpg,0.3071015775203705,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003167_heading128.73_pitch1.12_right90_square_fov90.0_640x640.jpg,0.26551729440689087,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003185_heading142.38_pitch0.17_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000188\pano_0000_003201_heading168.86_pitch-0.06_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000026_heading17.04_pitch-2.25_right90_square_fov90.0_640x640.jpg,0.32786035537719727,3
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000032_heading290.37_pitch-0.16_right90_square_fov90.0_640x640.jpg,0.414193332195282,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000052_heading299.29_pitch-0.06_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000066_heading299.38_pitch0.06_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000080_heading297.46_pitch0.08_right90_square_fov90.0_640x640.jpg,0.2790696322917938,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000094_heading298.01_pitch1.11_right90_square_fov90.0_640x640.jpg,0.26119184494018555,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000102_heading295.84_pitch-0.54_right90_square_fov90.0_640x640.jpg,0.30906444787979126,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000116_heading299.51_pitch-0.02_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000136_heading296.65_pitch0.17_right90_square_fov90.0_640x640.jpg,0.3740973472595215,1
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000189\pano_0000_000190_heading185.39_pitch1.11_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000050_heading209.13_pitch0.17_right90_square_fov90.0_640x640.jpg,0.28044113516807556,2
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000094_heading302.78_pitch-0.48_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000098_heading301.83_pitch-1.02_right90_square_fov90.0_640x640.jpg,0.0,0
data/UrbanWaste-images-10k-right\year_2016\TMX7316010203-000190\pano_0000_000102_heading303.01_pitch-0.56_right90_square_fov90.0_640x640.jpg,0.0,0
